GEOID,DIST
010730144143017,5
010730144091023,5
010730144121010,4
011170303051004,0
010730144061005,4
011170303044037,2
011170303462042,2
011170303041034,0
011170303523062,0
011170303523046,0
010730144082019,6
010730144122018,4
010730144053028,4
010730144063015,4
010730144151010,4
010730144143023,5
010730144122052,4
010730144151035,3
010730144122021,4
010730143034075,3
010730144092005,5
010730143041016,3
010730129084015,5
010730144121014,4
011170303512049,1
011170303473036,2
010730143034025,3
010730144091004,5
010730142082000,1
010730144143022,5
010730129082000,5
010730129131000,6
010730129073011,5
010730144091028,5
010730144091019,5
010730144061016,4
010730144122038,4
010730144122017,4
011170303473041,2
011170302202002,2
010730144151005,4
011170303473017,2
010730144142007,1
011170303044019,0
011170302201002,2
011170303523007,0
011170303041009,0
011170303473046,2
011170303512023,1
011170303141005,0
011170303303000,2
011170303473047,2
010730143041014,3
010730144091026,5
010730144041054,4
010730144062021,4
010730129084018,5
011170303462015,2
011170303042019,0
010730144083002,6
010730143032015,3
010730142084000,1
010730144064014,4
010730129071024,0
010730144041065,4
010730144152003,3
010730144122031,4
010730144103032,1
010730129084028,5
010730144122054,4
010730144064012,4
011170303051007,0
011170303473051,2
011170303512047,1
011170303462029,0
011170303462010,2
011170303523015,0
011170303042044,0
011170303041025,0
011170303041001,0
011170302123002,2
011170303053001,2
011170303051005,0
011170303142017,0
010730144041045,4
010730144062025,5
010730144151039,3
010730143032012,3
011170302201016,2
010730144152002,3
010730142093007,3
010730144122003,4
010730144082009,6
010730129082007,5
010730129084020,5
010730129071001,0
011170303512006,1
011170302161001,2
010730144092004,5
010730144092018,5
010730144082014,6
010730144122027,4
011179801001011,2
011170303042029,2
011170303462053,2
010730143034078,3
011170302163003,2
010730129081005,5
011170303522021,0
011170303524012,0
011170303472006,2
011170303302008,2
011170303473052,2
011170303043028,0
010730144063003,4
010730142093034,3
010730143032005,3
010730144063020,4
010730144091044,5
011170303512024,1
010730144143040,5
010730142084053,1
010730129073042,5
010730144152012,3
010730129131005,6
010730142093006,3
010730144053017,4
010730144103026,1
010730144092006,5
010730144152007,3
010730144082007,6
010730142093036,3
010730144083005,6
010730144121011,4
010730142084020,1
011170303522001,0
011170302163013,2
011170303462021,2
010730144061033,4
011170303522018,0
011170302202036,2
011170303522045,0
010730129172003,5
010730144091014,5
010730144053020,4
010730144083013,6
011170303043016,0
010730142052002,1
010730144083003,6
010730129073040,5
010730129074005,0
010730144122015,4
010730143041005,3
010730144091055,5
010730144091001,5
010730142093017,3
010730144102005,6
010730129133006,0
010730144052020,4
010730129181006,6
011170303041011,0
011170303471018,2
011170303511020,1
010730144151034,3
011170303142024,0
011170303461028,2
011170303462056,2
011170303142010,6
011170303142044,0
010730144142011,1
010730144061011,4
010730144143010,5
010730142082006,1
011170303142014,0
010730144082020,6
010730144103005,1
011170303502064,1
011170303523056,0
010730142052004,1
010730144142010,1
010730129084025,5
010730129181011,6
010730144053001,4
010730143034039,3
010730144052002,4
010730144092010,5
011170303512022,1
011170303473034,2
011170303473018,2
010730144101008,0
010730143034047,3
010730129081012,5
010730144151023,4
010730129073030,5
010730142082002,1
010730144121007,4
010730129181010,6
011170303303004,2
011170303302009,2
011170303523059,0
011170303461032,2
011170303042027,0
011170303303016,2
011170303512007,1
011170303512016,1
011170303142038,0
010730144103008,1
010730129073010,5
010730129073003,5
010730142093018,3
011170303501021,1
010730144152001,3
010730144052029,4
010730129172000,5
010730129071010,0
010730144062009,4
010730129084014,5
010730144122016,4
011170303043013,0
010730144064017,5
010730144103021,1
010730144091038,5
010730144122046,4
010730129072024,0
011170303462002,2
011170303461007,2
011170303471021,2
010730144102004,6
011170302161007,2
011170303523035,0
011170303473032,2
011170303512030,1
010730144082001,6
010730144122042,4
010730143043024,3
010730129182005,6
010730144143039,5
011170302202023,2
011170302203000,2
010730129132002,6
010730144061022,4
010730129131006,6
010730144101017,6
010730144061032,4
011170302161011,2
010730143033008,3
010730144081019,6
010730144081012,6
011170303473005,2
011170302161009,2
011170303483041,2
011170303364028,1
011170303142026,0
011170303462007,2
010730144103007,1
010730144062022,5
010730144091052,5
010730144092020,5
010730143034009,3
010730142093027,3
010730144102019,6
011170303472001,2
011170303523014,0
010730129072015,0
010730142051007,1
010730144062015,4
010730144081008,6
011170302161000,2
010730144091032,5
010730129071009,0
010730144122056,4
011170302201005,2
011170303523021,0
011170303042052,0
011170303511018,1
011170303042017,0
011170302123000,2
011170303473028,2
011170303482003,2
011170303523037,0
011170303522012,0
010730144062026,5
010730144122020,4
010730144102001,6
010730144122035,4
010730144143042,5
011170302202012,2
010730144083020,6
011170303044035,2
011170302161016,2
011170303501028,1
010730142093004,3
010730143034046,3
010730144122026,4
011170303461030,0
010730144143018,5
010730144091018,5
010730144122033,4
011170302111044,2
011170303473042,2
011170303473040,2
010730144091003,5
011170303512037,1
010730144151016,4
010730129084010,5
011170303041031,0
011170303501040,1
010730144121006,4
010730144122051,4
010730144122041,4
010730129073005,5
011170302161004,2
011170303483024,2
010730143034067,3
010730129073031,5
010730142081004,1
010730144063006,4
010730144063012,4
010730144083006,6
010730144063018,4
010730142093002,3
010730142083016,1
010730144062013,4
010730144062014,4
010730142082001,1
011170303042003,0
011170303511000,1
011170303523004,1
011170303502043,1
011170302123003,2
011170302123018,2
011170303511016,1
011170303462061,2
011170303501029,1
011170303522013,0
011170303042028,2
010730129073033,5
010730144121015,4
010730144151041,3
010730144122013,4
010730144053002,4
011170302202026,2
010730144141011,5
010730142052005,1
010730129102020,0
010730143033017,3
010730144063010,4
010730144102008,6
010730144052007,4
010730144083024,0
010730144092021,5
011170303142012,0
010730129181009,6
010730129084023,5
010730144092028,4
010730129073015,5
011170303044004,0
011170302204011,2
010730143033001,3
010730144082017,6
010730129072005,0
011170303041040,0
011170303042040,0
011170302123020,2
011170303512046,1
011170303483019,2
010730142084002,1
010730143032004,3
011170303041017,0
011170302203014,2
011170303523036,0
011170303462008,2
010730144143004,4
010730129182007,6
010730144082004,6
010730129073012,5
010730144051011,4
010730144141008,1
010730144053021,4
010730143041004,3
010730144053004,4
010730144091022,5
011170302123024,2
011170302202041,2
010730144143032,5
010730144121001,4
010730144091047,5
010730129081009,5
010730144103018,1
011170303461025,2
011170302201007,2
011170303523022,0
011170303462024,2
011170303043003,0
011170303511014,1
011170302162004,2
011170303473004,2
011170303043024,0
010730144122009,4
010730144101006,1
010730143032025,3
011170303044016,0
011170303483038,2
010730129192001,6
010730129133001,6
010730144101009,0
010730144063023,4
010730144062024,5
010730144062017,4
010730144062016,4
010730144151026,4
010730143033000,3
010730144103014,1
010730144064009,4
010730144143033,5
011170303472003,2
010730142052030,1
010730129083001,5
011170303473007,2
010730129082009,5
011170303142020,0
011170303523020,0
011170303142042,0
011170303042048,0
011170303044000,0
011170303462028,2
011170303501022,1
010730129182004,6
011170303462020,2
010730142083008,1
011170303502005,1
011170303473027,2
011170303522010,0
010730142083004,1
010730129084019,5
010730129084002,5
010730144053010,4
011170303142015,0
011170303364026,1
011170303483012,2
011170302211027,2
010730129172012,5
010730143034004,3
010730129084003,5
010730144061029,4
011170303472013,2
010730144081010,6
010730129131003,6
011170302201009,2
011170303142013,0
011170303511004,1
011170303462044,2
011170302202035,2
011170303042046,0
011170303501005,1
011170303512021,1
011170303522005,0
011170303044014,0
010730142084021,1
010730143034053,3
010730144041048,4
010730129191003,6
011170302211004,2
010730143032002,3
010730143032008,3
010730144143030,5
010730144091049,5
010730129181001,6
010730143041008,3
010730144103031,1
010730144064019,4
010730144092029,5
010730142093000,3
010730129071025,0
010730144082015,6
010730129071020,0
011170303522029,0
011170303461033,2
011170303462037,2
010730144051006,4
011170303041022,0
011170303472009,2
011170303462014,2
011170303472018,2
011170303483039,2
010730129074004,0
010730144063021,4
010730129071021,0
010730143043012,3
010730144151040,3
010730144092008,5
010730144053006,4
010730144053026,4
010730144083001,6
011170303502054,1
011170303042039,0
011170303511003,1
011170303151003,0
011170303142004,0
010730144082018,6
010730144052022,4
010730144061025,4
010730144091025,5
010730129172008,5
010730144063005,4
010730144142006,1
010730144141002,5
010730144053014,4
010730144081016,0
010730129083012,5
011170303044010,0
010730144063008,4
011170303522008,0
011170303141003,0
011170303462050,2
011170302123026,2
011170302201011,2
011170303522017,0
011170303522014,0
011170303523012,1
011170303044013,0
011170303312005,2
011170303483026,2
011170303462017,2
011170303502053,1
011170303512034,1
011170303502069,1
011170303461006,2
011170303043010,0
010730144102011,6
010730142084007,1
010730144151032,3
010730144091029,5
010730144103011,1
010730143041002,3
011170303044012,0
011170302201003,2
011170302201010,2
010730144152008,3
010730129181004,6
010730144141005,1
010730129192002,6
010730144152000,3
010730144103033,1
010730144083009,0
010730144053018,4
011170303512025,1
010730144062019,4
010730144041047,4
010730144152021,3
011170303043025,0
011170303473013,2
011170303303011,2
010730143033015,3
011170303461016,2
011170303462023,2
011170303511012,1
011170303501019,1
011170303511024,1
011170302161014,2
011170302161012,2
011170303524013,0
011170303042043,0
011170303142011,6
011170303043021,0
010730144091016,5
010730144063014,4
010730144122002,4
010730129081001,5
011170303042059,0
011170303483016,2
011170303471024,2
011170303502008,1
010730129073001,5
010730129073022,5
010730144081011,6
010730144061026,4
010730129073017,5
010730144102007,6
011170303473035,2
010730144083021,6
010730144041063,4
011170303042011,0
010730144151042,3
010730144122010,4
010730144141003,5
011170303302019,2
011170302203013,2
010730129081011,5
011170303523039,0
011170302161010,2
011170303523006,0
011170303521000,1
011170303462012,2
011170303512020,1
011170303483004,2
011170302202038,2
011170303042045,0
011170303303014,2
010730144101000,1
010730142084022,1
010730144122034,4
010730144142017,3
010730144041053,4
010730144092000,5
010730129172001,5
010730144151033,3
010730142052029,1
011170302202018,2
010730129182003,6
011170303461021,2
011170303043026,0
011170303053000,2
010730144101005,0
010730144151029,3
010730129171038,5
010730144122032,4
010730129072004,0
010730144101014,0
011170303142003,0
011170303303029,2
010730129073021,5
010730144061007,4
010730144101001,1
011170303041033,0
011170302202043,2
011170303483023,2
011170303462009,2
011170303524006,0
011170303483020,2
011170303051000,0
011170303462026,0
011170303042021,0
011170302202006,2
011170303142034,0
011170303523061,0
011170303142028,0
010730129072002,0
010730144102016,1
010730142081008,1
010730144052000,4
010730144121013,4
010730143033007,3
010730144101010,0
010730144064018,5
011170302202021,2
011170302202042,2
010730144082003,6
010730142084055,1
010730142083002,1
010730144143029,5
011170303044018,0
010730142093012,3
010730144152020,3
010730129071019,0
010730129083006,5
010730142082014,1
010730144083014,0
010730144122029,4
011170303512004,1
010730129073027,5
010730144122023,4
011170303462049,2
011170303042051,0
011170303461018,2
011170303522015,0
011170303483021,2
011170303044009,0
