GEOID20,DIST
281210210034005,0
281210201041024,4
281210202151001,1
281210201011001,4
281210201051100,4
281210208031058,4
281210203041056,3
281210202172003,3
281210201012051,4
281210201012046,4
281210208032006,4
281210208031005,4
281210209012011,4
281210202085008,2
281210209011007,4
281210209022002,4
281210208052016,2
281210201031011,2
281210201051019,4
281210208043001,4
281210210033016,0
281210210033031,0
281210203041062,3
281210208052011,2
281210201051092,4
281210209011029,4
281210203043031,1
281210202152004,1
281210204012034,0
281210202152014,3
281210208011003,2
281210210012015,0
281210210033023,0
281210201051066,4
281210210041021,0
281210202142014,1
281210210033008,0
281210210012021,0
281210202181010,2
281210208061027,4
281210204012019,0
281210204024003,0
281210209023018,4
281210202094013,1
281210202152028,3
281210209023004,4
281210208012026,3
281210208061032,4
281210202092004,1
281210209021058,4
281210201012012,4
281210209011079,4
281210204022016,3
281210203042008,3
281210202094010,1
281210209022015,4
281210202083000,2
281210208052023,3
281210210051006,0
281210210012002,0
281210204022007,0
281210208012022,4
281210203041053,3
281210201051074,4
281210201051088,4
281210201012043,2
281210209021061,4
281210210042019,0
281210202151009,1
281210203031017,1
281210201012001,4
281210204023021,0
281210209022010,4
281210210011025,0
281210210013014,0
281210202191011,2
281210202086026,2
281210203043030,3
281210208012018,4
281210208041016,3
281210201011002,4
281210209022034,4
281210210042028,0
281210208032023,4
281210202192005,2
281210202101007,1
281210201041010,2
281210205001017,3
281210201032015,2
281210210034006,0
281210201041005,2
281210210052062,4
281210202171006,3
281210209011046,4
281210202161011,3
281210204025003,3
281210202141010,3
281210209022027,4
281210204013027,0
281210201051011,4
281210201011065,4
281210204023007,0
281210202094012,1
281210204013037,0
281210208012020,4
281210209022013,4
281210209011002,4
281210206011010,3
281210202162001,3
281210205001009,3
281210204023014,0
281210201012005,4
281210201032011,2
281210209011003,4
281210209021042,4
281210201031008,2
281210204021016,0
281210203041021,3
281210201051016,4
281210202121026,1
281210201031005,2
281210210034030,0
281210210014007,0
281210204011009,0
281210202183002,2
281210202091007,1
281210204024004,0
281210201032018,2
281210202091010,1
281210209023012,4
281210208012024,4
281210206012023,3
281210203043022,3
281210208031039,4
281210210014021,0
281210202152010,1
281210209023058,4
281210202152035,3
281210208044007,3
281210203043000,1
281210206012021,3
281210208043000,3
281210202085002,2
281210202191017,2
281210210042016,0
281210204013025,0
281210203041017,3
281210201051078,4
281210209012002,4
281210201051035,4
281210210051034,4
281210210033015,0
281210203031008,1
281210210051037,4
281210201051024,4
281210201051021,4
281210204012021,0
281210202193023,3
281210210032017,0
281219800001005,3
281210204022003,3
281210209011035,4
